RegionID,SizeRank,RegionName,RegionType,StateName,Date,MarketHeatIndex,ZHVI,SaleToListRatio,Year
395109,160,"Spartanburg, SC",msa,SC,2018-03-31,46.0,153271.04637201183,0.9728499632157082,2018
394645,161,"Greeley, CO",msa,CO,2018-03-31,70.0,352814.37791629724,0.9971033698859078,2018
394471,163,"Clarksville, TN",msa,TN,2018-03-31,53.0,167243.34326232088,0.9736957461415764,2018
394747,167,"Kingsport, TN",msa,TN,2018-03-31,36.0,136520.08136097773,0.9487965125805744,2018
394741,168,"Kennewick, WA",msa,WA,2018-03-31,68.0,263684.03456910345,0.9883017624866612,2018
394660,170,"Hagerstown, MD",msa,MD,2018-03-31,49.0,192591.80639728977,0.9707427031682196,2018
394543,171,"Duluth, MN",msa,MN,2018-03-31,44.0,154261.42293065917,0.9638697009807256,2018
394937,172,"Olympia, WA",msa,WA,2018-03-31,76.0,310006.3911779283,0.9987803607873263,2018
395229,174,"Wilmington, NC",msa,NC,2018-03-31,50.0,254231.23680970908,0.9665705291808524,2018
395061,175,"San Luis Obispo, CA",msa,CA,2018-03-31,55.0,605931.4519718206,0.9813204569088086,2018
394851,177,"Merced, CA",msa,CA,2018-03-31,59.0,262071.4786337542,0.9845795698179284,2018
395197,178,"Waco, TX",msa,TX,2018-03-31,52.0,151414.9726393956,0.9608574097684488,2018
394447,179,"Cedar Rapids, IA",msa,IA,2018-03-31,52.0,162636.81923353684,0.9708842525581136,2018
394348,180,"Atlantic City, NJ",msa,NJ,2018-03-31,30.0,183210.2778037832,0.9596917418051496,2018
394412,181,"Bremerton, WA",msa,WA,2018-03-31,79.0,363711.2998648493,1.0012644250880618,2018
395065,183,"Santa Cruz, CA",msa,CA,2018-03-31,60.0,810493.228523159,0.99539293906407,2018
394572,184,"Erie, PA",msa,PA,2018-03-31,26.0,131798.33456820177,0.9456542872166224,2018
394924,185,"Norwich, CT",msa,CT,2018-03-31,51.0,237117.40603568067,0.969283032182426,2018
394323,186,"Amarillo, TX",msa,TX,2018-03-31,45.0,142566.26122012828,0.9719092215486884,2018
395171,188,"Tuscaloosa, AL",msa,AL,2018-03-31,41.0,150878.5143198115,0.9657050445944796,2018
394483,189,"College Station, TX",msa,TX,2018-03-31,48.0,227689.0373107892,0.9685463685691742,2018
394732,190,"Kalamazoo, MI",msa,MI,2018-03-31,50.0,167706.299227241,0.9707004648290974,2018
395240,193,"Yakima, WA",msa,WA,2018-03-31,63.0,202148.06766360052,0.9843223841244692,2018
394387,195,"Binghamton, NY",msa,NY,2018-03-31,25.0,111927.87156317776,0.9376363603883058,2018
394609,196,"Fort Smith, AR",msa,AR,2018-03-31,28.0,125907.6578653789,0.9539586342187332,2018
845160,198,"Prescott Valley, AZ",msa,AZ,2018-03-31,54.0,256118.84947418442,0.9774343027508746,2018
394813,200,"Macon, GA",msa,GA,2018-03-31,22.0,110815.67447588344,0.948233715975934,2018
395174,201,"Tyler, TX",msa,TX,2018-03-31,50.0,169446.98456561923,0.9669454595090596,2018
394361,202,"Barnstable Town, MA",msa,MA,2018-03-31,48.0,429605.7090402918,0.963256080862637,2018
394378,205,"Bellingham, WA",msa,WA,2018-03-31,66.0,365143.1594555285,0.9865629720139132,2018
395030,207,"Rochester, MN",msa,MN,2018-03-31,63.0,221441.7117567001,0.9864370890332618,2018
394454,209,"Champaign, IL",msa,IL,2018-03-31,36.0,159732.78118762813,0.9584486356660432,2018
394848,210,"Medford, OR",msa,OR,2018-03-31,57.0,313124.7387306772,0.9848342225981764,2018
394459,212,"Charlottesville, VA",msa,VA,2018-03-31,45.0,305145.0526041368,0.9691856717006938,2018
394773,214,"Las Cruces, NM",msa,NM,2018-03-31,46.0,171233.72890795933,0.9646840273038206,2018
394464,215,"Chico, CA",msa,CA,2018-03-31,61.0,296158.6640814925,0.9875799412772018,2018
394681,216,"Hilton Head Island, SC",msa,SC,2018-03-31,43.0,300900.5148742401,0.957033496468104,2018
394346,217,"Athens, GA",msa,GA,2018-03-31,51.0,190990.38832932452,0.974212403034425,2018
394765,218,"Lake Havasu City, AZ",msa,AZ,2018-03-31,46.0,199175.69636262607,0.9695741582877654,2018
395114,220,"Springfield, IL",msa,IL,2018-03-31,39.0,139125.30177999756,0.9703382420763772,2018
394726,224,"Johnson City, TN",msa,TN,2018-03-31,33.0,155351.65383566555,0.9637848331007582,2018
394623,226,"Gainesville, GA",msa,GA,2018-03-31,51.0,220843.1146651824,0.970167022127652,2018
394716,227,"Jacksonville, NC",msa,NC,2018-03-31,56.0,156557.11367982792,0.981857328560232,2018
394680,229,"Hilo, HI",msa,HI,2018-03-31,45.0,370273.2633258344,0.9648272592830454,2018
395118,230,"St. Cloud, MN",msa,MN,2018-03-31,54.0,193214.4401343088,0.9810690560588152,2018
394380,232,"Bend, OR",msa,OR,2018-03-31,59.0,408680.11132756417,0.9858451753246203,2018
395047,233,"Saginaw, MI",msa,MI,2018-03-31,38.0,87082.76588905927,0.957236516416204,2018
